wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,17171,,0,3888,-0.090,.874,0.66,5.40,6.16,4.08,R
,17201,,0,3879,-0.130,.871,0.464,6.53,2.02,4.8,R
,17461,,0,3877,-0.214,.010,0.566,-2.55,-3.67,7.85,R
,17481,0	bbjrbrʊrʚbrbrʪbrbJH17491,,0,3894-0.191,0.933,0.63,8.27,-3.14,3.78,R
,17621,,0,3885,0.033,0896,0.46,19.84,-4.04,3.27,R
,17661,,0,3888,0.013,0874,0.358,15.58,-0.43,3.05,R
,17761,,0,3883,0.049,0.976,0.290,-14.26,2.04,26.68,R
,17831,,0,3889,0.097,0.793,0.493,-38.04,-7.75,33.16,R
,17951,,0,3888,0.176,0883,0.482,3.00,13.38,10.63,R
,18011,,0,3881,0.040,0983,0.639,4.12,6.02,13.07,R
,18181,,0,3902,0.335,0791,0.264,35.17,-6.47,30.49,R
,18301,,0,3902,0.327,0830,0.226,5.46,3.05,-506,R
,18361,,0,3905,0.292,0894,0.224,-3.26,-1.12,-12.68,R
,18371,,0,3890,0.282,0897,0.199,-7.70,-3.29,-13.96,R
,18421,,0,3903,0.181,0957,0.335,-17.1,6.73,-.19,R
,18571,,0,3887,0.233,0915,0.365,-10.2,5.31,-.54,R
,18611,,0,3887,0.187,0892,0.423,-13.7,3.78,-.27,R
,18661,,0,3908,0.245,0941,0.343,-4.97,4.85,-2.48,R
,18731,,0,3881,0.236,0903,0.42,-1.58,4.85,3.1,R
,18821,,0,3911,0.235,0860,0.453,-2.86,-2.69,289,R
,18961,,0,3927,0.189,0.899,0.380,-2.43,-1.56,-.30,R
,19061,,0,3883,0.172,0881,0.418,-10.2,3.05,-0.65,R
,19131,0	bbrbrbrbjrʊbjrbjrbRJH19141,,0,38590.218,0864,0.434,-10.4,0.27,-2.39,R
,19151,,0,3856,0.200,0.840,0.456,-7.82,1.38,-224,R
,19181,,0,3856,0.231,0.871,0.46,7.93,6.50,2.5,R
,19211,0	bbrbrʢbrbjrbjrbjr²bRJH19221,0,0,3850,0.220,0.936,0.412,-6.45-3.23,-.29,R
,19271,,0,3839,0.199,0852,0.463,5.43,4.74,2.0,R
,19311,,0,3847,0.232,0910,0.396,5.34,1.14,-1.03,R
,19401,	bbrbrºbrbjrbjrbjrbRJH19411,0,0,38540.185,0.879,0.423,2.09,1.37,1.71,R
,19611,0,0,3871,0.193,0879,0.450,2.79,4.25,1.5,R
,19641,0,0,3903,0.219,0.896,0.387,3.29,1.32,-4.19,R
,19661,0,0,3888,0.192,0.899,0.379,-2.08,-1.11,-.12,R
,19721,,0,3863,0.198,0925,0.414,-3.32,2.77,-093,R
,19901,0,0,3847,0.222,0.890,0.387,2.28,5.55,-351,R
,19951,0,0,3851,0.188,0893,0.416,-0.37,2.18,-235,R
,20011,0	bbrbrʲbrbjºbjr)rbRJH20021,,0,38510.167,0872,0.412,-4.60,-0.82,-.41,R
,20061,,0,3850,0.223,0.903,0.412,3.89,.66,0.9,R
,20141,,0,3845,0.195,0.876,0.40,2.25,.71,1.35,R
,20151,,0,3827,0.200,0.887,0.422,3.19,.57,1.00,R
,20431,0,0,3851,0.194,0.886,0.456,1.32,.67,-0.0,R
,20511,0,0,3831,0.211,0.884,0.414,2.71,2.27,-250,R
,20581,0,0,3802,0.178,0.890,0.424,0.76,0.76,-0.45,R
,20751,0,0,3823,0.165,0.889,0.45,2.59,-1.98,-1.35,R
,20761,,0,3805,0.174,0.899,0.415,3.83,-1.15,1.0,R
,20781,0,0,3823,0.194,0.900,0.46,3.20,0.19,1.1,R
,20851,0,0,3823,0.199,0.886,0.423,0.67,1.64,0.80,R
,20931,0,0,3852,0.197,0.869,0.389,5.74,.72,-1.7,R
,21011,0,0,3856,0.193,0.941,0.398,2.50,8.01,2.25,R
,21121,0,0,3942,0.126,1.049,0.267,1.34,3.61,8.2,R
,21151,0,0,3856,0.031,1180,0.370,-25.33,8.27,18.55,R
,21191,0,0,3871,-0.006,.197,0.97,-30.33,-6.19,30.07,R
,21231,0,0,3863,0.010,1220,0.50,-27.58,-6.69,49.03,R
,21291,0,0,3869,-0.001,.910,0.25,-30.7,2.25,2.19,R
,21301,0,0,3877,0.033,0814,0.49,-28.4,0.70,63.93,R
,21311,0,0,3869,0.074,0735,0.440,-23.75,1.47,62.46,R
,21321,0,0,3879,0.127,0.666,0.37,-19.3,3.89,57.15,R
,21351,0,0,3856,0.313,0678,0.27,-13.2,33.86,35.90,R
,21361,0,0,3867,0.345,0702,0.23,-14.4,51.12,27.75,R
,21401,0,0,3875,0.408,0729,0.37,-22.8,102.70,13.75,R
,21421,0,0,3888,0.483,0730,0.514,-46.84,114.62,28.40,R
,21431,0,0,3882,0.520,0.738,0.601,-56.5,109.11,32.71,R
,21441,0,0,3879,0.544,0.745,0.69,-66.4,98.08,32.02,R
,21451,0,0,3873,0.574,0724,0.76,-73.1,85.06,23.07,R
,21461,0,0,3874,0.574,0729,0.88,-77.03,69.73,12.36,R
,21471,0,0,3877,0.570,0747,0.95,-73.1,58.04,6.78,R
,21481,0,0,3888,0.539,0.800,0.999,-64.37,57.44,6.60,R
,21491,0,0,3891,0.196,1.136,1.302,-73.55,45.58,11.33,R
,21511,0,0,3893,0.250,0.727,1.306,-35.30,58.13,15.00,R
,21531,0,0,3895,0.306,0.876,1.064,-21.79,58.30,11.94,R
,21541,0,0,3887,0.253,0.880,1.040,-11.07,45.14,14.71,R
,21551,0,0,3885,0.196,0.917,0.90,-11.4,33.20,21.36,R
,21561,0,0,3887,0.163,0909,0.96,-19.3,17.14,33.96,R
,21571,0,0,3890,0.185,0.865,0.920,-30.04,-5.06,47.76,R
,21591,0,0,3905,0.249,0781,0.91,-62.4,-52.74,60.49,R
,21601,0,0,3898,0.295,0687,0.96,-68.48,-72.54,57.61,R
,21621,0,0,3890,0.331,0.538,1.053,-71.87,-101.81,45.32,R
,21641,0,0,3889,0.319,0.436,1.115,-57.88,-120.33,32.19,R
,21651,,0,3890,0.306,0.401,1.112,-34.7,-119.30,27.94,R
,21771,0,0,3888,0.329,0.416,0.537,39.57,-70.04,-1.90,R
,21861,,0,3917,0.520,0.376,0.460,-53.3,-65.14,5.39,R
,21921,0,0,3943,0.780,0.323,0.45,-127.9,-91.84,-10.30,R
,21971,0,0,3866,0.890,0115,0.56,-183.1,-77.30,-28.84,R
,21981,0,0,4075,0.903,0.050,0.601,-185.24,-70.65,-37.22,R
,22001,,0,4095,0.832,0.006,0.636,-161.09,-58.80,-56.64,R
,22011,0,0,3863,0.798,0.038,0.611,-140.31,-42.42,-67.52,R
,22031,0,0,3847,0.651,0084,0.53,-107.88,2.44,-86.80,R
,22041,0,0,4095,0.603,0.154,0.395,-93.36,21.95,-95.08,R
,22051,0,0,3850,0.513,0265,0.49,-100.7,23.21,-104.07,R
,22101,0,0,4095,0.047,0467,0.46,-120.9,48.15,-116.74,R
,22111,0,0,3847,0.021,0456,0.44,-146.0,23.09,-108.67,R
,22131,0,0,3856,0.044,0.449,0.474,-179.81,-11.89,-97.35,R
,22151,0,0,3850,0.010,0428,0.63,-195.2,-21.53,-93.31,R
,22171,0,0,3856,0.012,0.376,0.66,-174.0,3.06,-84.91,R
,22181,0,0,4095,-0.019,.436,0.99,-15599,23.28,-81.03,R
,22191,0,0,3845,-0.045,0.445,0.698,-13434,47.75,-80.53,R
,22201,0,0,4095,-0.075,.445,0.98,-11956,64.94,-78.73,R
,22211,0,0,3845,-0.079,0.447,0.692,-11004,74.44,-74.51,R
,22221,0,0,4095,-0.089,.465,0.05,-10236,81.69,-67.92,R
,22241,0,0,4095,-0.149,0.486,0.39,-91.8,90.62,-52.39,R
,22251,0,0,3851,-0.129,0.474,0.747,-81.2,90.60,-41.84,R
,22271,0,0,3848,-0.042,.467,0.716,-67.68,85.99,-28.07,R
,22281,0,0,4095,0.003,0.467,0.687,-68.08,86.16,-24.32,R
,22291,0,0,3850,0.050,0.464,0.667,-73.93,87.92,-20.55,R
,22301,0,0,4095,0.058,0.496,0.668,-77.43,95.78,-14.80,R
,22311,0,0,3845,0.074,0.484,0.694,-83.35,107.70,-7.42,R
,22321,0,0,4095,0.052,0.489,0.718,-89.84,119.61,-2.73,R
,22331,0,0,3847,0.033,0.491,0.70,-100.65,129.67,2.45,R
,22341,0,0,4095,-0.003,.455,0.748,-11155,142.18,4.77,R
,22351,0,0,3853,-0.032,.409,0.52,-12665,146.04,10.87,R
,22361,0,0,4095,-0.075,0.411,0.754,-135.41,153.52,23.44,R
,22381,0,0,4095,-0.092,.375,0.34,-15231,178.92,52.34,R
,22391,0,0,3851,-0.090,.317,0.13,-17413,189.87,65.24,R
,22401,0,0,4095,-0.112,0.233,1.027,-19159,195.84,72.98,R
,22411,0,0,3857,-0.052,0.142,1.117,-193.18,193.67,69.58,R
,22421,0,0,4095,0.000,0.025,1.241,-182.95,180.85,53.81,R
,22451,0,0,3857,0.094,-0.172,1.281,-154.14,115.6,4.05,R
,22461,0,0,4095,-0.082,-0.228,1.323,-146.31,111.79,-7.16,R
,22471,0,0,3856,-0.148,-0.293,1.284,-159.09,77.1,-12.85,R
,22481,0,0,4095,-0.284,0.266,1299,-15.10,71.78,-12.0,R
,22491,0,0,3859,-0.308,0.289,1248,-14.49,67.64,-4.19,R
,22501,0,0,4095,-0.294,-0.299,1.233,-136.68,60.71,-0.41,R
,22511,0,0,3856,-0.290,-0.309,1192,-13.91,49.73,3.16,R
,22521,0,0,4095,-0.300,-0.321,1.140,-147.56,47.47,5.03,R
,22531,0,0,3858,-0.291,-0.396,1.102,-164.34,38.97,9.64,R
,22541,0,0,4080,-0.349,-0.375,1.141,-192.19,46.77,16.58,R
,22551,0,0,3856,-0.364,-0.455,1.176,-206.25,56.77,26.55,R
,22561,0,0,4062,-0.388,-0.597,1.154,-210.91,73.89,46.75,R
,22571,0,0,3856,-0.378,0.628,1170,-19.01,101.14,71.41,R
,22581,0,0,4073,-0.330,0.661,1.181,-17.57,122.08,86.52,R
,22591,,0,3856,-0.370,-0.664,1.150,-149.20,141.60,96.25,R
,22601,0,0,4048,-0.497,0.580,1010,-12.75,163.06,112.20,R
,22611,0,0,3854,-0.458,0.666,1.054,-10.38,194.97,136.05,R
,22631,0,0,3856,-0.448,0.700,1125,-6040,255.26,169.68,R
,22641,0,0,4053,-0.568,0.674,1073,-5297,273.20,170.54,R
,22651,0,0,3861,-0.619,-0.672,1.039,-58.54,279.21,172.49,R
,22671,0,0,3858,-0.762,-0.574,1.043,-5062,245.93,159.82,R
,22681,0,0,4065,-0.786,0.519,1030,-4228,214.3,152.83,R
,22691,0,0,3855,-0.850,-0.583,1.010,-37.00,184.76,147.96,R
