wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,142541,0,0,1899,-0.255,0.309,0.913,14.20,6.46,-6.35,F
,1425421,0,0,1805,-0.27,0.321,.905,14.33,8.78,-7.51,F
,1425441,0,0,1863,-0.297,0.337,0.926,12.64,10.5,-4.62,
,1425461,0,0,1951,-0.293,0.368,.964,12.81,11.5,-2.01,
,142548,0,0,1888,-0.291,0.369,0.971,17.69,5.45,-2.44,F
,142549,0,0,1819,-0.284,0.382,0.951,23.34,2.23,-2.25,F
,1425521,0,0,1808,-0.762,0.436,0.770,-19.70,-12.24,-14.99,F
,1425541,0,0,1792,-0.187,0.448,0.831,-128.96,-133.71,-51.81,F
,142555,0,0,1854,-0.239,0.419,0.792,-15.29,-7.03,-1432,F
,1425601,0,0,1647,-0.235,0.060,1.074,118.04,143.38,65.8,F
,142561,0,0,1877,-0.283,0.088,.055,143.78,15629,74.9,F
,142563,0,0,1963,-0.275,0.237,0.811,106.59,11507,59.9,F
,1425641,0,0,1822,-0.244,0.367,0.916,53.60,90.78,27.04,
,142565,0,0,191,-0.35,0.350,.854,16.35,64.08,8.33,F
,1425681,0,0,1869,-0.333,0.253,0.874,-4.56,-2748,-1.9,F
,142569,0,0,1584,-0.255,0.181,0.915,-55.39,-42.96,-6.74,F
,142572,0,0,1907,-0.144,0.171,0.965,-35.70,-11.03,-25.81,F
,142573,0,0,1894,-0.187,0.165,0.982,-21.50,10.16,-22.7,F
,142575,0,0,176,-0.281,0.204,1.038,2.94,41.42,-9.51,F
,142579,0,0,1744,-0.344,0.269,.024,-848,13.7,-16.83,a5
,1425821,0,0,1930,-0.371,0.267,0.987,-5.09,-13.5,-25.5,F
,1425881,0,0,1830,-0.394,0.257,0.962,-8.00,0.43,-15.98,
,142591,0,0,1663,-0.405,0.213,0.931,-5.00,-1.72,-9.57,F
,142595,0,0,169,-0.37,0.283,.979,-15.35,-1.8,3.58,
,142602,0,0,1779,-0.289,0.165,1.020,-29.35,-9.31,24.46,F
,142603,0,0,1958,-0.271,0.134,1.012,-30.72,-12.24,25.33,F
,1426061,0,0,2097,-0.154,0.066,.947,-2.64,-2229,24.9,F
,1426081,0,0,2146,-0.124,0.108,0.928,-23.50,-14.82,29.8,F
,1426151,0,0,215,-0.126,0.017,.048,-3.79,-5.8,20.16,F
,142616,0,0,2075,-0.143,0.007,1.034,-3.20,-8.7,20.95,a5
,1426181,0,0,1956,-0.134,0.052,1.019,-23.00,-7.81,21.73,F
,142619,0,0,1977,-0.153,0.049,.001,-2.35,-8.6,19.76,F
,142621,0,0,1893,-0.162,0.029,0.938,-18.03,-11.97,15.8,F
,1426221,0,0,219,-0.164,0.021,0.947,-1.96,-9.48,15.90,F
,142628,0,0,1796,-0.188,-0.041,1.016,-12.48,13.30,19.5,F
,142631,0,0,1749,-0.187,-0.045,1.025,-.80,8.5,6.66,F
,142632,0,0,1732,-0.207,-0.056,1.039,-.19,9.1,4.13,"F142633	b¢bjrʚbjrbrbrbrbrb25"
,142635,0,0,1883,-0.194,-0.007,1.046,871,15.3,6.51,F
,142638,0,0,1858,-0.19,0.024,.059,-057,11.5,8.10,F
,142640,0,0,1623,-0.185,0.018,1.063,-7.82,4.39,10.48,F
,142641,0,0,1924,-0.169,0.003,1.064,-1.26,1.3,10.77,F
,1426461,0,0,1967,-0.073,-0.031,1.036,-2.78,2.28,13.13,F
,142647,0,0,1855,-0.066,-0.040,1.012,-.71,1.8,12.52,
,1426481,0,0,1802,-0.043,-0.051,0.992,-9.30,-0.74,7.96,F
,142650,0,0,2015,-0.068,-0.085,0.968,-.30,-3.8,3.44,
,1426551,0,0,1936,-0.115,-0.109,0.952,-.87,3.5,-3.54,F
,1426561,0,0,1914,-0.135,-0.118,0.966,-2.31,5.91,-4.54,F
,1426571,0,0,1989,-0.150,-0.145,0.976,-1.39,7.2,-5.00,F
,1426621,0,0,1875,-0.129,-0.123,1.014,-1.09,18.4,-4.41,F
,1426641,0,0,191,-0.135,-0.106,1.017,227,20.1,-2.24,F
,142667,0,0,1776,-0.140,-0.090,0.992,-5.88,15.74,1.36,F
,142670,0,0,1947,-0.11,-0.062,0.970,-16.40,8.9,6.74,FH142671	bbjʪbjrbrʺbjrbrbrb25
,1426761,0,0,1891,-0.106,-0.133,0.975,-9.84,21.29,21.4,F
,1426771,0,0,190,-0.100,-0.135,0.972,-7.61,1993,22.29,F
,1426791,0,0,2028,-0.079,-0.135,0.985,-27.10,2086,22.2,F
,142688,0,0,1893,-0.23,-0.144,0.956,-74.43,1046,43.6,F
,142693,0,0,1773,-0.165,-0.347,0.979,-9.45,23.36,53.71,F
,1426941,0,0,1746,-0.179,-0.356,0.964,-6.71,2321,55.35,F
,1426991,0,0,1872,-0.07,-0.524,1.014,-47.04,10.03,47.4,F
,1427011,0,0,1684,-0.073,-0.642,1.049,-5.09,1625,38.20,F
,1427041,0,0,183,-0.09,-0.647,1.052,9.13,30.9,19.41,
,1427101,0,0,185,-0.17,-0.601,1.083,4.92,20.4,-22.50,F
,1427131,0,0,167,-0.230,-0.586,1.127,6.38,22.55,-37.3,F
,1427141,0,0,189,-0.23,-0.560,1.142,77.28,22.3,-41.2,F
,142715,0,0,1708,-0.252,-0.549,1.135,92.44,21.9,-45.2,F
,1427161,0,0,1747,-0.261,-0.518,1.139,98.45,15.00,-50.7,F
,142718,0,0,1711,-0.262,-0.492,1.108,93.13,-7.0,-62.4,F
,1427191,0,0,173,-0.305,-0.482,1.125,92.29,-16.87,-66.7,F
,142723,0,0,1842,-0.228,-0.457,1.077,11.52,-3.89,-81.05,F
,1427261,0,0,2222,-0.250,-0.461,1.081,18.91,-43.08,-102.51,F
,1427271,0,0,1636,-0.255,-0.437,1.087,19.45,-47.72,-10.20,F
,1427281,0,0,1940,-0.273,-0.438,1.104,10.59,-56.96,-11.76,F
,142729,0,0,1889,-0.28,-0.433,1.132,123.62,-6.77,-11.25,F
,1427321,0,0,2019,-0.185,-0.394,1.151,10.50,-83.84,-11.44,F
,1427331,0,0,169,-0.144,-0.373,1.127,17.46,-78.76,-12.16,F
,1427381,0,0,198,-0.135,-0.156,1.026,126.42,-78.15,-12.54,F
,1427391,0,0,2537,-0.086,-0.146,0.969,14.68,-85.23,-13.23,F
,1427421,0,0,210,-0.016,-0.157,0.868,9.97,-83.49,-14477,F
,142743,0,0,1963,-0.013,-0.151,0.840,10.39,-77.84,-149.05,F
,1427481,0,0,2260,-0.033,0.014,0.679,8033,-35.63,-148.6,F
,1427491,0,0,239,-0.004,0.039,0.648,7026,-30.87,-145.2,F
,142753,0,0,1941,0.065,0.162,0566,21.04,-20.6,-140.68,F
,1427551,0,0,164,0.097,0.123,0.532,-9.3,-15.69,-138.0,F
,1427581,0,0,536,0.113,0.066,0.68,-42.05,-15.81,-137.5,F
,1427601,0,0,876,0.090,0.064,0.593,-35.84,-17.7,-134.0,F
,142763,0,0,1665,-0.019,0.201,.767,-48.66,25.7,-129.86,F
,1427641,0,0,1443,-0.102,0.232,.848,-59.10,41.5,-128.32,F
,142765,0,0,190,-0.157,0.223,0.912,-7.13,48.97,-127.4,F
,142769,0,0,1771,-0.246,0.088,.089,-68.17,16.3,-123.13,F
,142771,0,0,2069,-0.247,0.119,1.161,-60.28,11.5,-117.08,F
,142773,0,0,1698,-0.273,0.198,.299,-70.17,29.9,-109.7,F
,1427751,0,0,2083,-0.330,0.144,1.515,-76.63,43.2,-97.37,F
,142778,0,0,1937,-0.389,0.075,.696,-3.20,60.7,-64.70,F
,1427831,0,0,1786,-0.25,0.059,1.787,2433,1.49,-58.38,
,142785,0,0,182,-0.141,0.061,1.562,46.59,3.50,-60.21,
,142789,0,0,1842,-0.237,0.176,1.309,78.68,-13.54,-46.3,F
,142793,0,0,174,-0.072,0.140,.038,124.23,1.5,-50.32,F
,142795,0,0,1748,-0.261,0.272,0.866,142.97,-4679,-53.66,F
,1427971,0,0,158,-0.129,0.354,0.549,132.93,-6705,-54.62,F
,142800,0,0,1785,-0.262,0.476,0.503,8658,-59.49,-41.7,F
,1428011,0,0,1662,-0.17,0.455,0.449,6939,-65.08,-36.8,F
,1428041,0,0,1850,-0.170,0.313,0.594,47.84,-85.3,-37.75,F
,1428051,0,0,166,-0.157,0.282,0.615,55.78,-92.8,-40.88,F
,142808,0,0,1701,-0.206,0.462,.466,6311,-60.16,-30.5,F
,142815,0,0,1839,-0.133,0.592,0.127,1794,24.42,11.26,F
,142818,0,0,1881,-0.006,0.592,0.391,1.6,88.14,43.41,F
,142821,0,0,1891,0.012,0.447,0537,-4437,91.15,41.42,
,142822,0,0,194,-0.010,0.448,0.618,-48.83,81.7,40.81,a5
,142823,0,0,181,0.002,0.420,0.704,-51.16,71.7,37.01,F
,142827,0,0,1871,0.052,0.333,0929,-4390,56.08,20.91,
,142829,0,0,1792,0.062,0.271,0.991,-4171,69.93,16.11,H1428301	bbʂbrbrbrbjrbrbrb25
,1428371,0,0,1872,-0.00,0.265,1.052,-4.69,93.99,5.30,
,1428401,0,0,1895,0.008,0.176,1.097,-4336,54.57,-0.96,
,142846,0,0,1840,-0.033,0.190,1.100,-6.54,80.10,-6.50,F
,142855,0,0,1660,-0.171,0.087,1.171,-10.81,77.32,-58.3,F
,142857,0,0,174,-0.260,0.088,1.132,-4.20,77.16,-51.78,F
,142858,0,0,160,-0.290,0.037,1.157,-57.65,69.9,-51.2,F
,142859,0,0,129,-0.34,-0.015,1.207,-0.43,58.45,-52.4,F
,1428601,0,0,1515,-0.37,-0.060,1.252,-6.32,47.47,-50.83,F
,1428621,0,0,1728,-0.316,-0.129,1.252,158,29.8,-43.54,F
,142864,0,0,196,-0.198,-0.075,1.147,22.94,50.6,-44.35,F
,142866,0,0,193,-0.211,-0.016,1.007,1.35,76.98,-55.5,F
,1428681,0,0,1644,-0.27,0.015,0.909,-2.77,106.57,-61.9,F
,142869,0,0,1936,-0.25,-0.008,1.044,-0.67,11.06,-59.64,F
,1428741,0,0,1759,-0.495,-0.165,0.873,-111.45,170.43,-5.83,F
,1428811,0,0,1759,-0.617,-0.400,1.137,23.05,114.13,-6.4,F
,142882,0,0,1817,-0.626,-0.391,0.972,42.10,10002,-9.1,F
