wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,2311581,471,0,1814,-0.155,0.797,0.599,-1.94,6.28,-12.28,F
,2311591,475,0,1826,-0.150,0.792,0.594,-0.03,6.76,-12.43,F
,2311601,477,0,1825,-0.149,0.801,0.589,0.35,7.37,-12.48,F
,2311611,475,0,1872,-0.150,0.800,0.591,0.51,8.13,-12.48,F
,2311621,474,0,1846,-0.146,0.807,0.583,-0.35,8.77,-12.52,F
,2311631,478,0,1834,-0.149,0.802,0.584,-2.03,8.91,-12.58,F
,2311641,474,0,1841,-0.147,0.805,0.587,-4.35,8.10,-12.54,F
,2311651,475,0,1778,-0.141,0.797,0.581,-5.00,7.92,-12.57,F
,2311661,475,0,1974,-0.136,0.794,0.589,-5.23,7.31,-13.12,F
,2311671,476,0,1846,-0.135,0.792,0.579,-5.90,7.55,-14.23,F
,2311681,472,0,1840,-0.143,0.792,0.587,-6.44,6.85,-14.84,F
,2311691,471,0,1825,-0.143,0.787,0.599,-6.06,6.71,-14.46,F
,2311701,472,0,1900,-0.148,0.793,0.594,-5.71,6.77,-14.34,F
,2311711,473,0,1781,-0.140,0.789,0.594,-5.58,7.08,-14.90,F
,2311721,473,0,1841,-0.143,0.790,0.597,-5.81,6.79,-15.45,F
,2311731,472,0,1874,-0.140,0.788,0.594,-6.29,6.90,-15.88,F
,2311741,471,0,1873,-0.147,0.792,0.591,-6.36,7.83,-15.93,F
,2311751,474,0,1846,-0.151,0.794,0.602,-6.00,7.61,-15.94,F
,2311761,473,0,1869,-0.147,0.803,0.602,-5.34,7.40,-15.77,F
,2311771,477,0,1879,-0.142,0.804,0.602,-5.55,6.91,-16.08,F
,2311781,473,0,1871,-0.142,0.805,0.603,-6.73,6.13,-16.49,F
,2311791,483,0,1843,-0.147,0.810,0.595,-7.19,5.72,-16.64,F
,2311801,476,0,1858,-0.146,0.813,0.599,-6.76,4.94,-16.78,F
,2311811,483,0,1790,-0.140,0.809,0.590,-5.89,4.30,-17.01,F
,2311821,464,0,1890,-0.136,0.813,0.591,-5.29,4.06,-16.66,F
,2311831,478,0,1883,-0.126,0.813,0.587,-4.38,4.80,-15.99,F
,2311841,475,0,1845,-0.124,0.819,0.584,-4.15,5.52,-15.68,F
,2311851,474,0,1847,-0.123,0.819,0.586,-4.24,6.94,-15.36,F
,2311861,473,0,1846,-0.115,0.817,0.579,-4.81,7.83,-14.92,F
,2311871,473,0,1793,-0.122,0.814,0.581,-5.55,8.94,-14.87,F
,2311881,475,0,1889,-0.117,0.817,0.585,-5.71,8.79,-15.68,F
,2311891,474,0,1783,-0.119,0.809,0.576,-6.71,8.68,-16.12,F
,2311901,477,0,1859,-0.131,0.800,0.588,-7.34,7.72,-16.73,F
,2311911,475,0,1841,-0.132,0.787,0.586,-6.76,6.41,-17.10,F
,2311921,477,0,1835,-0.136,0.786,0.593,-5.46,5.48,-17.28,F
,2311931,471,0,1840,-0.141,0.781,0.585,-4.71,6.02,-17.67,F
,2311941,478,0,1840,-0.151,0.788,0.577,-4.53,7.37,-17.91,F
,2311951,477,0,1696,-0.169,0.790,0.581,-5.14,8.86,-18.08,F
,2311961,476,0,1904,-0.177,0.797,0.574,-5.68,10.54,-16.81,F
,2311971,478,0,1874,-0.184,0.791,0.584,-6.45,10.77,-16.23,F
