wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,2234181,368,0,1735,0.165,0.909,-0.424,-4.21,-4.57,23.62,R
,2234191,365,0,1623,0.170,0.888,-0.420,-1.36,-2.38,23.80,R
,2234201,367,0,1584,0.176,0.866,-0.426,1.47,0.89,24.75,R
,2234211,368,0,1610,0.177,0.847,-0.420,4.28,2.73,25.27,R
,2234221,368,0,1561,0.185,0.833,-0.427,7.44,3.79,25.63,R
,2234231,368,0,1471,0.190,0.819,-0.435,7.18,4.58,25.30,R
,2234241,365,0,1492,0.199,0.803,-0.423,8.55,2.75,24.03,R
,2234251,368,0,1568,0.208,0.792,-0.435,9.99,0.96,22.27,R
,2234261,368,0,1297,0.223,0.789,-0.421,12.49,-0.53,20.27,R
,2234271,365,0,1439,0.224,0.790,-0.442,14.66,-0.72,18.62,R
,2234281,368,0,1620,0.224,0.804,-0.429,15.60,0.69,16.56,R
,2234291,367,0,1569,0.220,0.806,-0.434,13.93,0.53,14.75,R
,2234301,366,0,1558,0.223,0.812,-0.420,11.67,-2.76,13.22,R
,2234311,368,0,1553,0.218,0.809,-0.440,5.02,-5.36,11.42,R
,2234321,363,0,1623,0.221,0.820,-0.424,-1.08,-9.41,10.06,R
,2234331,368,0,1641,0.216,0.825,-0.425,-5.48,-11.16,8.73,R
,2234341,368,0,1715,0.217,0.822,-0.421,-8.62,-13.48,7.78,R
,2234351,368,0,1749,0.217,0.823,-0.422,-9.27,-15.88,6.46,R
,2234361,368,0,1834,0.214,0.828,-0.423,-9.25,-17.71,5.54,R
,2234371,371,0,1781,0.216,0.835,-0.432,-9.74,-18.38,3.69,R
,2234381,358,0,1788,0.208,0.834,-0.436,-9.40,-21.13,1.91,R
,2234391,368,0,1836,0.208,0.829,-0.429,-9.25,-24.08,-0.26,R
,2234401,384,0,1867,0.206,0.829,-0.441,-12.35,-25.63,-0.52,R
,2234411,368,0,1840,0.211,0.837,-0.425,-12.70,-26.12,0.79,R
,2234421,366,0,1734,0.210,0.845,-0.437,-10.61,-24.49,2.81,R
,2234431,368,0,1694,0.223,0.848,-0.441,-8.59,-22.29,4.49,R
,2234441,364,0,1847,0.246,0.851,-0.444,-6.96,-22.00,5.86,R
,2234451,368,0,1827,0.252,0.846,-0.446,-6.04,-22.17,5.49,R
,2234461,366,0,1723,0.259,0.849,-0.453,-5.94,-21.89,4.61,R
,2234471,366,0,1826,0.259,0.853,-0.460,-4.41,-21.77,3.42,R
,2234481,364,0,1799,0.255,0.849,-0.474,-3.78,-21.44,2.79,R
,2234491,365,0,1797,0.255,0.853,-0.478,-4.36,-19.39,3.85,R
,2234501,362,0,1727,0.265,0.859,-0.463,-2.14,-17.83,5.23,R
,2234511,367,0,1676,0.274,0.854,-0.479,-1.02,-16.21,6.00,R
,2234521,367,0,1669,0.284,0.851,-0.476,0.49,-15.68,6.26,R
,2234531,365,0,1701,0.297,0.842,-0.478,0.92,-15.44,6.20,R
,2234541,368,0,1785,0.307,0.858,-0.475,2.43,-14.69,6.96,R
,2234551,368,0,1701,0.287,0.883,-0.470,5.22,-11.21,8.36,R
,2234561,370,0,1681,0.269,0.906,-0.456,8.29,-8.32,9.97,R
,2234571,368,0,1653,0.269,0.916,-0.421,6.66,-9.44,11.16,R
,2234581,368,0,1603,0.268,0.917,-0.412,6.93,-11.21,11.80,R
,2234591,365,0,1629,0.257,0.915,-0.404,4.11,-11.86,11.43,R
,2234601,366,0,1584,0.237,0.903,-0.385,4.46,-12.02,11.91,R
,2234611,361,0,1485,0.229,0.884,-0.377,4.66,-12.58,13.46,R
,2234621,356,0,1607,0.243,0.844,-0.382,8.47,-13.51,14.65,R
,2234631,365,0,1840,0.248,0.802,-0.423,10.28,-13.41,14.29,R
,2234641,366,0,1795,0.263,0.763,-0.405,12.22,-15.34,12.41,R
,2234651,366,0,1535,0.278,0.720,-0.461,14.93,-18.35,9.59,R
,2234661,368,0,1477,0.291,0.687,-0.481,16.26,-20.05,6.32,R
,2234671,366,0,1567,0.293,0.677,-0.501,19.96,-20.23,3.23,R
,2234681,368,0,1680,0.295,0.670,-0.538,22.17,-18.15,0.85,R
,2234691,367,0,1659,0.362,0.671,-0.591,24.08,-7.34,-6.03,R
,2234701,368,0,1840,0.278,0.688,-0.513,32.22,-10.64,-2.49,R
,2234711,379,0,1950,0.272,0.690,-0.587,33.79,-8.98,-1.68,R
,2234721,369,0,2009,0.273,0.724,-0.572,35.05,-5.02,-1.15,R
,2234731,370,0,2038,0.274,0.756,-0.601,35.16,-1.22,0.50,R
,2234741,365,0,2096,0.279,0.765,-0.563,30.61,0.49,0.23,R
,2234751,367,0,1932,0.278,0.793,-0.666,32.92,4.73,-1.07,R
,2234761,368,0,1783,0.314,0.812,-0.602,31.22,3.21,-1.21,R
,2234771,364,0,1712,0.306,0.803,-0.680,26.40,1.50,-1.86,R
,2234781,368,0,1639,0.317,0.801,-0.639,18.92,1.24,-1.82,R
,2234791,368,0,1687,0.310,0.791,-0.691,13.47,0.76,-2.17,R
,2234801,367,0,1633,0.300,0.791,-0.645,8.83,3.65,-0.64,R
,2234811,365,0,1680,0.283,0.794,-0.636,6.38,6.99,0.85,R
,2234821,369,0,1648,0.279,0.801,-0.616,4.92,10.50,2.58,R
,2234831,374,0,1658,0.282,0.780,-0.611,4.31,10.29,3.17,R
,2234841,375,0,1739,0.304,0.781,-0.629,0.98,12.69,0.82,R
,2234851,373,0,1659,0.309,0.773,-0.626,-3.28,9.37,-1.93,R
,2234861,376,0,1830,0.295,0.780,-0.592,-8.29,1.16,-3.73,R
,2234871,378,0,1744,0.294,0.787,-0.581,-12.67,-3.62,-4.31,R
,2234881,380,0,1813,0.308,0.791,-0.612,-16.20,-3.85,-3.76,R
,2234891,383,0,1779,0.279,0.822,-0.564,-15.22,0.27,-3.27,R
,2234901,383,0,1773,0.254,0.853,-0.496,-14.30,1.54,0.04,R
,2234911,381,0,1704,0.253,0.876,-0.443,-11.30,-0.02,4.65,R
,2234921,380,0,1683,0.274,0.894,-0.418,-9.05,0.18,8.56,R
,2234931,382,0,1665,0.294,0.903,-0.394,-9.91,2.69,10.61,R
,2234941,386,0,1655,0.308,0.908,-0.393,-11.54,5.05,12.21,R
,2234951,371,0,1518,0.291,0.899,-0.349,-16.88,1.25,13.17,R
,2234961,382,0,1883,0.277,0.855,-0.375,-23.57,-8.98,13.13,R
,2234971,379,0,1870,0.301,0.814,-0.370,-28.62,-18.17,11.75,R
,2234981,383,0,1918,0.316,0.757,-0.401,-29.39,-24.86,9.04,R
,2234991,383,0,1907,0.333,0.706,-0.423,-27.97,-30.08,6.65,R
,2235001,384,0,1840,0.331,0.670,-0.440,-22.01,-31.83,4.72,R
,2235011,383,0,1922,0.328,0.656,-0.452,-14.01,-29.65,4.03,R
,2235021,378,0,2029,0.327,0.653,-0.481,-4.81,-25.79,5.71,R
,2235031,381,0,2213,0.338,0.661,-0.503,7.05,-19.86,7.48,R
,2235041,383,0,2274,0.350,0.667,-0.527,16.99,-15.89,9.75,R
,2235051,385,0,2318,0.386,0.688,-0.541,25.19,-11.16,8.35,R
,2235061,385,0,2187,0.422,0.701,-0.663,23.05,-6.87,6.03,R
,2235071,384,0,2194,0.395,0.725,-0.582,18.90,-10.05,2.18,R
,2235081,382,0,1794,0.375,0.771,-0.650,14.18,-14.43,-2.83,R
,2235091,384,0,1734,0.342,0.803,-0.629,10.05,-21.42,-6.41,R
