wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,385741,135,0,1840,0.126,0.727,0.657,5.36,-9.01,4.59,R
,385751,138,0,1842,0.133,0.721,0.649,4.54,-6.63,5.05,R
,385761,142,0,1846,0.135,0.723,0.649,4.77,-3.40,6.27,R
,385771,134,0,1841,0.115,0.722,0.667,4.87,1.50,7.51,R
,385781,111,0,1840,0.110,0.717,0.678,3.56,2.00,8.47,R
,385791,143,0,1846,0.114,0.717,0.691,4.14,1.01,9.02,R
,385801,143,0,1845,0.118,0.720,0.677,4.60,0.69,9.96,R
,385811,142,0,1841,0.132,0.721,0.658,2.48,-1.82,9.98,R
,385821,141,0,1843,0.154,0.730,0.653,1.79,-2.41,10.04,R
,385831,141,0,1840,0.177,0.728,0.645,1.65,-1.34,9.90,R
,385841,131,0,1837,0.189,0.732,0.643,1.99,1.62,9.47,R
,385851,96,0,1835,0.161,0.741,0.641,0.83,6.09,9.18,R
,385861,139,0,1842,0.141,0.731,0.672,-1.29,6.34,9.60,R
,385871,137,0,1843,0.134,0.734,0.690,-1.66,5.59,9.73,R
,385881,140,0,1840,0.133,0.727,0.697,-0.53,5.11,9.90,R
,385891,138,0,1840,0.143,0.717,0.694,-0.47,3.62,9.72,R
,385901,120,0,1840,0.130,0.732,0.676,-1.26,4.20,9.98,R
,385911,139,0,1840,0.119,0.727,0.675,-3.58,4.85,10.71,R
,385921,137,0,1837,0.120,0.713,0.685,-6.00,3.19,10.18,R
,385931,137,0,1838,0.126,0.700,0.681,-5.63,2.50,9.81,R
,385941,143,0,1842,0.154,0.680,0.683,-4.96,2.93,9.23,R
,385951,134,0,1842,0.149,0.684,0.679,-3.45,5.53,9.12,R
,385961,138,0,1843,0.141,0.691,0.685,-4.12,8.67,9.25,R
,385971,139,0,1843,0.123,0.690,0.684,-5.51,10.63,9.60,R
,385981,141,0,1840,0.127,0.679,0.699,-7.87,8.98,9.17,R
,385991,140,0,1840,0.135,0.677,0.703,-8.79,6.49,8.82,R
,386001,135,0,1840,0.153,0.680,0.707,-8.77,6.40,8.97,R
,386011,138,0,1835,0.166,0.664,0.677,-11.54,-3.80,7.81,R
,386021,141,0,1841,0.138,0.682,0.712,-4.04,2.43,7.43,R
,386031,141,0,1844,0.199,0.708,0.709,-4.35,8.87,6.05,R
,386041,135,0,1842,0.187,0.683,0.750,-1.19,19.63,5.28,R
,386051,135,0,1849,0.176,0.685,0.723,-0.53,10.85,6.41,R
,386061,139,0,1840,0.155,0.693,0.729,-5.98,7.18,1.73,R
,386071,110,0,1841,0.148,0.710,0.736,-5.61,4.12,1.73,R
,386081,140,0,1840,0.163,0.713,0.750,-1.80,5.13,4.13,R
,386091,143,0,1841,0.176,0.715,0.746,-4.76,5.80,4.82,R
,386101,138,0,1841,0.170,0.700,0.753,-7.00,5.30,4.68,R
,386111,138,0,1841,0.158,0.692,0.744,-5.25,3.88,4.83,R
,386121,142,0,1845,0.153,0.677,0.747,-3.95,2.12,3.75,R
,386131,142,0,1846,0.152,0.667,0.747,-3.66,0.12,1.73,R
,386141,141,0,1844,0.158,0.673,0.736,-2.44,0.43,1.47,R
,386151,135,0,1846,0.163,0.667,0.723,-0.51,0.98,2.18,R
